7:17,302,58,84,616,654,8,1102,61,94
18:17,58,302,84,94,616,654,61,354,8
19:17,58,302,84,94,616,654,61,354,8
36:17,616,61,94,8,364,518,787,15,32
37:518,61,245,15,17,1987,402,616,787,8
41:518,15,17,61,245,1405,402,8,542,616
42:518,15,17,61,245,1405,402,542,8,616
43:518,15,17,61,245,1405,402,542,8,616
44:61,518,15,17,245,402,542,1405,8,32
45:670,76,17,616,650,32,58,1804,224,238
46:17,32,61,616,518,245,508,542,15,58
59:17,32,616,61,508,518,15,8,245,402
60:17,616,32,61,15,518,245,8,58,508
69:17,32,616,61,518,8,15,245,542,364
70:17,32,616,61,518,8,15,245,542,364
94:17,518,61,616,15,32,245,402,94,364
106:17,61,518,616,15,32,402,542,58,654
115:17,61,518,616,15,32,402,542,58,654
116:17,61,15,402,32,518,542,616,58,94
142:61,17,32,542,616,58,245,364,654,8
143:61,17,32,542,616,58,245,364,654,8
148:17,61,32,15,364,542,564,616,654,8
150:17,61,32,654,15,245,364,542,564,616
156:61,17,542,8,15,32,58,245,654,94
161:17,61,15,58,8,32,542,616,508,654
171:61,17,15,58,616,8,542,32,94,245
172:61,17,15,58,616,8,32,542,94,245
174:61,17,15,58,616,8,32,542,94,245
177:61,17,15,58,616,8,32,94,245,542
196:17,58,61,302,616,15,654,94,1196,542
202:17,61,616,58,94,32,1196,302,364,15
211:17,61,616,32,58,94,302,245,364,650
217:17,61,94,616,32,58,245,302,542,564
220:17,61,94,616,32,58,245,302,542,564
223:61,17,32,564,616,94,245,542,654,15
224:61,17,32,564,616,94,245,542,654,15
225:61,17,32,542,564,616,15,58,94,245
228:61,17,32,542,564,616,15,58,94,245
229:61,17,32,542,616,58,94,245,518,564
231:17,508,564,32,1023,61,58,302,364,15
232:17,508,564,32,1023,61,58,302,364,15
238:17,508,564,542,15,61,32,76,245,302
241:17,58,508,302,61,564,616,15,94,238
245:17,58,508,302,61,564,616,15,94,238
249:17,61,15,245,302,616,58,402,508,542
250:17,61,245,542,15,58,364,518,1511,302
253:17,61,245,15,542,508,518,58,364,402
257:17,61,542,58,302,15,245,518,564,616
272:17,58,61,542,302,518,616,245,564,1196
273:58,518,542,616,17,654,8,302,564,84
288:542,58,564,654,32,1196,302,17,616,8
290:58,542,654,17,32,302,564,616,1196,61
291:542,58,17,564,654,302,616,1196,1535,32
292:17,58,542,61,302,654,32,518,616,8
294:17,58,542,61,302,518,32,616,654,787
328:17,58,518,542,61,302,616,654,787,32
331:17,58,61,518,542,654,787,15,32,302
345:17,58,61,518,542,654,787,15,32,302
361:17,58,61,542,302,518,787,32,616,654
376:654,58,302,17,162,239,29,837,6,1550
384:17,58,302,654,861,542,15,61,238,554
401:17,542,518,58,61,616,1511,15,402,486
402:17,302,542,58,616,1511,15,32,654,787
410:17,542,58,302,32,518,616,654,787,15
448:17,542,61,32,58,508,518,616,654,1511
449:17,542,61,402,32,58,616,654,508,518
450:17,542,61,15,58,364,518,245,302,402
452:17,542,61,15,58,364,518,245,302,402
476:17,542,61,15,58,364,518,245,302,402
488:17,8,62,61,1196,32,58,402,542,650
490:17,542,61,518,1403,1511,58,94,402,564
494:17,61,542,58,518,32,616,654,1403,15
500:17,542,61,58,518,32,616,1403,245,564
514:17,61,58,542,32,518,616,1196,1403,302
525:17,61,542,58,32,518,616,245,564,650
535:17,61,58,32,542,616,650,94,245,302
536:17,61,58,542,32,616,654,94,302,518
538:17,61,58,32,542,94,518,616,15,650
539:17,61,58,32,542,94,518,616,15,650
564:302,58,616,654,17,32,101,15,1196,1535
582:58,302,542,616,17,654,61,15,554,1196
585:58,302,17,542,616,654,61,15,289,564
590:58,302,616,654,17,542,15,84,101,61
601:58,302,616,654,17,542,15,84,101,61
618:58,302,616,654,17,542,15,84,101,61
624:58,654,302,616,17,542,15,61,101,32
627:58,654,302,616,17,542,15,61,101,32
628:58,654,302,616,17,542,15,61,101,32
632:58,302,654,616,17,542,101,15,61,84
633:17,542,616,15,861,61,518,302,58,101
634:17,542,15,518,616,61,302,486,861,58
646:15,17,58,61,616,302,542,654,518,861
666:15,17,58,61,616,302,542,654,861,32
667:17,616,15,58,61,32,302,542,654,861
669:17,616,15,58,61,32,302,542,654,861
678:17,61,616,58,32,542,15,302,654,861
680:542,17,61,15,302,616,654,58,564,32
